OTU,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF90_s1_r1,ARMS_Crete_1HERP_20200903_20210122_SF_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1,ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
ASV_1:92db2a54b8c860e5c9c485200307b72bde5098b4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3172,0,0,0,131,Eukaryota;Mollusca;Bivalvia;Ostreidag;Ostreidae;Ostrea;Ostrea,Ostrea:37858
ASV_2:7c61e93ec29ff8ff27df81541dcb588bbe266a64,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2493,0,0,0,43,Eukaryota;Chordata;Ascidiacea;Stolidobranchiag;Styelidae;Botrylloides;Botrylloides,Botrylloides:62806
ASV_3:a834be979a75c1cb757a89c0ec3a182d5ab3e4e0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4510,1,0,0,3706,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Balanidae;Balanus;Balanus,Balanus:6677
ASV_4:94a0159c27825db975ecfb22857d9e9f9afb3b75,0,0,0,0,0,0,1,0,0,0,0,0,0,370,0,3166,0,0,0,1,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_5:acc4413fdb3d19216c7d983407313405e9a1ee51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1005,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Bugulidae;Bugula;Bugula,Bugula:10211
ASV_6:563e0c2aea794d7987697d6ad6ba7bae6f885cf6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,487,0,0,0,1,Eukaryota;Chordata;Actinopteri;Cypriniformesg;Cyprinidae;Enteromius;Enteromius,Enteromius:1911134
ASV_7:511c7007a6238c914707d00bf365854f4f131f2a,0,0,0,0,0,0,70,8,0,289,0,0,0,0,0,0,0,2,0,0,Eukaryota;Arthropoda;Insecta;Dipterag;Sepsidae;Nemopoda;Nemopoda,Nemopoda:292386
ASV_8:688d5e22286ab575831dfbbf494c633e58aa3e6e,0,0,0,0,0,0,159,0,0,161,0,0,1,0,0,0,0,3,0,0,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Balanidae;Amphibalanus;Amphibalanus,Amphibalanus:637416
ASV_9:8fafb89f7a9921990e9030bbc4debd9f17085797,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,209,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_10:d40e19f66e76cc54b02ae688174877657d1bdd5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,86,Eukaryota;Mollusca;Bivalvia;Ostreidag;Ostreidae;Crassostrea;Crassostrea,Crassostrea:6564
ASV_11:4d6fa5e239ac6630cf0823de21e770003f3f747f,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,868,0,0,0,8,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Campanulariidae;Campanularia;Campanularia,Campanularia:314506
ASV_12:e5975dc97da57da88ee1b47252048230cf45d547,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,150,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Halymenialesg;Halymeniaceae;Yonagunia;Yonagunia,Yonagunia:241239
ASV_13:e68c41bec0410ac68676cb13edfa3512e9ea92e9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,204,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Campanulariidae;Campanularia;Campanularia,Campanularia:314506
ASV_14:d6466063f1bfac2fe41d4c4a0a8fb558802b37d4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,107,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_15:93e0f5ca03784ba626e5d9550702dd431f700ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,103,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_16:3623370cef3c7fa302614df95d72d66d3125ef32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,2,Eukaryota;Annelida;Polychaeta;Spionidag;Spionidae;Polydora;Polydora,Polydora:46600\n1227177
ASV_17:a8af84444391b34c4399d8bab14f4b4d43c874ee,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,83,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_18:47cd53df2ec6c288c7cce60da131c9d1447781e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,111,Eukaryota;Mollusca;Bivalvia;Ostreidag;Ostreidae;Ostrea;Ostrea,Ostrea:37858
ASV_19:bbf75a3e5d37c4565210b32a83b6743b2fe23de7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,67,0,0,0,0,Eukaryota;Platyhelminthes;Rhabditophora;Tricladidag;Geoplanidae;Microplana;Microplana,Microplana:69516
ASV_20:584bfdbb97cb98e60b18669254e6f11d0dc0bf37,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,37,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_21:a4262169182eb16d9af3c1e88a9dc8289018cfc0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,40,0,0,0,3,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_22:d9871a52f7a53a9aba1e67703987cbfbf17b4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,Eukaryota;Arthropoda;Insecta;Dipterag;Tipulidae;Tipula;Tipula,Tipula:259245
ASV_23:ad5935391356589596d1ba0996d32c0b52de5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,Eukaryota;Nemertea;Enopla;Monostiliferag;Emplectonematidae;Emplectonema;Emplectonema,Emplectonema:6229
ASV_24:166ecee1e8d78e96eec1a315ec6d74963e1d357f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,Eukaryota;Chordata;Amphibia;Caudatag;Hynobiidae;Hynobius;Hynobius,Hynobius:1527435
