OTU,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF90_s1_r1,ARMS_Crete_1HERP_20200903_20210122_SF_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1,ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
ASV_1:92db2a54b8c860e5c9c485200307b72bde5098b4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3172,0,0,0,131,Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Ostrea;Ostrea stentina,Ostrea stentina:348593
ASV_2:7c61e93ec29ff8ff27df81541dcb588bbe266a64,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2493,0,0,0,43,Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides diegensis,Botrylloides diegensis:62933
ASV_3:a834be979a75c1cb757a89c0ec3a182d5ab3e4e0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4510,1,0,0,3706,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus trigonus,Balanus trigonus:756461
ASV_4:94a0159c27825db975ecfb22857d9e9f9afb3b75,0,0,0,0,0,0,1,0,0,0,0,0,0,370,0,3166,0,0,0,1,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria occidentalis,Tricellaria occidentalis:991043
ASV_5:acc4413fdb3d19216c7d983407313405e9a1ee51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1005,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula neritina,Bugula neritina:10212
ASV_6:563e0c2aea794d7987697d6ad6ba7bae6f885cf6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,487,0,0,0,1,Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Enteromius;Enteromius pobeguini,Enteromius pobeguini:1001912
ASV_7:511c7007a6238c914707d00bf365854f4f131f2a,0,0,0,0,0,0,70,8,0,289,0,0,0,0,0,0,0,2,0,0,Eukaryota;Arthropoda;Insecta;Diptera;Sepsidae;Nemopoda;Nemopoda mamaevi,Nemopoda mamaevi:1577136
ASV_8:688d5e22286ab575831dfbbf494c633e58aa3e6e,0,0,0,0,0,0,159,0,0,161,0,0,1,0,0,0,0,3,0,0,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_9:8fafb89f7a9921990e9030bbc4debd9f17085797,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,209,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria occidentalis,Tricellaria occidentalis:991043
ASV_10:d40e19f66e76cc54b02ae688174877657d1bdd5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,86,Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea gigas,Crassostrea gigas:29159
ASV_11:4d6fa5e239ac6630cf0823de21e770003f3f747f,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,868,0,0,0,8,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii,Campanularia hincksii:314507
ASV_12:e5975dc97da57da88ee1b47252048230cf45d547,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,150,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Yonagunia;Yonagunia zollingeri,Yonagunia zollingeri:1134408
ASV_13:e68c41bec0410ac68676cb13edfa3512e9ea92e9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,204,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii,Campanularia hincksii:314507
ASV_14:d6466063f1bfac2fe41d4c4a0a8fb558802b37d4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,107,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Candidae;Tricellaria;Tricellaria occidentalis,Tricellaria occidentalis:991043
