OTU,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF100_s1_r1,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_MF500_s1_r1,ARMS_BelgiumCoast_AJJBC89_20210225_20210819_SF40_s1_r1,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF100_s1_r1,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD78_20210225_20210819_SF40_s1_r1,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF100_s1_r1,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD89_20210225_20210819_SF40_s1_r1,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_MF500_s1_r1,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309_SF40_s1_r1,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100_s1_r1,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40_s1_r1,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100_s1_r1,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40_s1_r1,ARMS_Galway_Gurr1_20200721_20210708_MF100_s1_r1,ARMS_Galway_Gurr1_20200721_20210708_MF500_s1_r1,ARMS_Galway_Gurr1_20200721_20210708_SF40_s1_r1,ARMS_Galway_Gurr2_20200721_20210707_MF100_s1_r1,ARMS_Galway_Gurr2_20200721_20210707_MF500_s1_r1,ARMS_Galway_Gurr2_20200721_20210707_SF40_s1_r1,ARMS_Galway_Gurr3_20200723_20210708_MF100_s1_r1,ARMS_Galway_Gurr3_20200723_20210708_MF500_s1_r1,ARMS_Galway_Gurr3_20200723_20210708_SF40_s1_r1,ARMS_GulfOfPiran_BojaVida_20200611_20210728_MF40_s1_r1,ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF40_s1_r1,ARMS_GulfOfPiran_LukaKP_20210223_20210622_MF40_s1_r1,ARMS_GulfOfPiran_LukaKP_20210223_20210622_SF40_s1_r1,ARMS_GulfOfPiran_LukaKP_20210622_20211027_MF40_s1_r1,ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF40_s1_r1,ARMS_Koster_VH1_20200716_20210608_MF100_s1_r1,ARMS_Koster_VH1_20200716_20210608_MF500_s1_r1,ARMS_Koster_VH1_20200716_20210608_SF40_s1_r1,ARMS_Koster_VH2_20200716_20210608_MF100_s1_r1,ARMS_Koster_VH2_20200716_20210608_MF500_s1_r1,ARMS_Koster_VH2_20200716_20210608_SF40_s1_r1,ARMS_Koster_VH3_20200716_20210608_MF100_s1_r1,ARMS_Koster_VH3_20200716_20210608_MF500_s1_r1,ARMS_Koster_VH3_20200716_20210608_SF40_s1_r1,ARMS_Limfjord_Green33_20201110_20211115_MF100_s1_r1,ARMS_Limfjord_Green33_20201110_20211115_MF500_s1_r1,ARMS_Limfjord_Green33_20201110_20211115_SF40_s1_r1,ARMS_Limfjord_Yellow8_20201110_20211115_MF100_s1_r1,ARMS_Limfjord_Yellow8_20201110_20211115_MF500_s1_r1,ARMS_Limfjord_Yellow8_20201110_20211115_SF40_s1_r1,ARMS_Limfjord_Red2_20201110_20211115_MF100_s1_r1,ARMS_Limfjord_Red2_20201110_20211115_MF500_s1_r1,ARMS_Limfjord_Red2_20201110_20211115_SF40_s1_r1,ARMS_Plymouth_MBA1A_20200717_20200921_MF100_s1_r1,ARMS_Plymouth_MBA1A_20200717_20200921_MF500_s1_r1,ARMS_Plymouth_MBA1A_20200717_20200921_SF40_s1_r1,ARMS_Plymouth_MBA1B_20200717_20200922_MF100_s1_r1,ARMS_Plymouth_MBA1B_20200717_20200922_MF500_s1_r1,ARMS_Plymouth_MBA1B_20200717_20200922_SF40_s1_r1,ARMS_Plymouth_MBA1C_20200717_20200923_MF100_s1_r1,ARMS_Plymouth_MBA1C_20200717_20200923_MF500_s1_r1,ARMS_Plymouth_MBA1C_20200717_20200923_SF40_s1_r1,ARMS_RavHarbour_RavH1_20210422_20210722_MF100_s1_r1,ARMS_RavHarbour_RavH1_20210422_20210722_MF500_s1_r1,ARMS_RavHarbour_RavH1_20210422_20210722_SF40_s1_r1,ARMS_RavHarbour_RavH2_20210422_20210722_MF100_s1_r1,ARMS_RavHarbour_RavH2_20210422_20210722_MF500_s1_r1,ARMS_RavHarbour_RavH2_20210422_20210722_SF40_s1_r1,ARMS_RavHarbour_RavH3_20210422_20210722_MF100_s1_r1,ARMS_RavHarbour_RavH3_20210422_20210722_MF500_s1_r1,ARMS_RavHarbour_RavH3_20210422_20210722_SF40_s1_r1,ARMS_RavMarina_RavM1_20210422_20210722_MF100_s1_r1,ARMS_RavMarina_RavM1_20210422_20210722_MF500_s1_r1,ARMS_RavMarina_RavM1_20210422_20210722_SF40_s1_r1,ARMS_RavMarina_RavM2_20210422_20210722_MF100_s1_r1,ARMS_RavMarina_RavM2_20210422_20210722_MF500_s1_r1,ARMS_RavMarina_RavM2_20210422_20210722_SF40_s1_r1,ARMS_RavMarina_RavM3_20210422_20210722_MF100_s1_r1,ARMS_RavMarina_RavM3_20210422_20210722_MF500_s1_r1,ARMS_RavMarina_RavM3_20210422_20210722_SF40_s1_r1,ARMS_TZS_Spikarna_20200608_20201118_MF100_ETOH_s1_r1,ARMS_TZS_Spikarna_20200608_20201118_MF500_ETOH_s1_r1,ARMS_TZS_Spikarna_20200608_20201118_SF40_ETOH_s1_r1,ARMS_Vigo_TorallaA_20200706_20201006_MF500_s1_r1,ARMS_Vigo_TorallaA_20200706_20201006_SF40_s1_r1,ARMS_Vigo_TorallaB_20200706_20201006_MF100_s1_r1,ARMS_Vigo_TorallaB_20200706_20201006_MF500_s1_r1,ARMS_Vigo_TorallaB_20200706_20201006_SF40_s1_r1,ARMS_Vigo_TorallaC_20200706_20201006_MF500_s1_r1,ARMS_Vigo_TorallaC_20200706_20201006_SF40_s1_r1,Classification,TAXON.NCBI_TAX_ID
Otu17,0,25,261,2371,3686,60,48,691,11,456,44,360,253,23,270,36,3,17,0,0,6,1,5,4,7,28,52,9,9,30,20,1,0,2,1,0,0,2,12,5,1,9,8,9,8,2,8,2,10,4,2,7,9,1,12,3,6,3,1,0,2,0,1,0,4,3,0,3,1,0,0,0,0,9,0,0,301,2,202,179,18,1143,21,8,14,45,Main genome;Eukaryota;Opisthokonta,Opisthokonta:33154
Otu4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa;Filosa (class);X (Filosa (class));Filosa (X (Filosa (class)));XX (Filosa (X (Filosa (class))));Filosa (XX (Filosa (X (Filosa (class)))));XXX (Filosa (XX (Filosa (X (Filosa (class))))));Filosa (XXX (Filosa (XX (Filosa (X (Filosa (class)))))));XXX (Filosa (XXX (Filosa (XX (Filosa (X (Filosa (class))))))));sp. (XXX (Filosa (XXX (Filosa (XX (Filosa (X (Filosa (class))))))))),Cercozoa:136419
Otu4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Cercozoa (phylum);X (Cercozoa (phylum));Cercozoa (X (Cercozoa (phylum)));XX (Cercozoa (X (Cercozoa (phylum))));Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))));XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))));Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))))));XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))));Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))))))));XXXX (Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))))));sp. (XXXX (Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))))))),Cercozoa:136419
Otu4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae,Sandonidae:2586441
Otu4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Cercozoa (phylum);X (Cercozoa (phylum));Cercozoa (X (Cercozoa (phylum)));XX (Cercozoa (X (Cercozoa (phylum))));Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))));XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))));Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))))));XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))));Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum)))))))));XXXX (Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))))));sp. (XXXX (Cercozoa (XXXX (Cercozoa (XXX (Cercozoa (XX (Cercozoa (X (Cercozoa (phylum))))))))))),Cercozoa:136419
Otu4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Microsporidiomycota;Microsporidiomycotina;Microsporidiomycotina (order);X (Microsporidiomycotina (order)),Fungi:4751
Otu4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Rhizaria;Cercozoa;Novel-clade-10-12;Novel-clade-12;NC12B-lineage;NC12B-lineage (family);X (NC12B-lineage (family));NC12B-lineage (X (NC12B-lineage (family)));X (NC12B-lineage (X (NC12B-lineage (family))));sp. (X (NC12B-lineage (X (NC12B-lineage (family))))),Cercozoa:136419
Otu4059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Ciliophora;Karyorelictea;Karyorelictea (class);X (Karyorelictea (class));Trachelocercidae;Trachelocercidae (genus);X (Trachelocercidae (genus));Trachelocercidae (X (Trachelocercidae (genus)));X (Trachelocercidae (X (Trachelocercidae (genus))));sp. (X (Trachelocercidae (X (Trachelocercidae (genus))))),Trachelocercidae:37865
Otu3439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes (family);X (Agaricomycetes (family));Agaricomycetes (X (Agaricomycetes (family)));X (Agaricomycetes (X (Agaricomycetes (family))));sp. (X (Agaricomycetes (X (Agaricomycetes (family))))),Agaricomycetes:155619
Otu678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;Unknown Cephaloidophoridae family 11,Cephaloidophoridae:947083
