OTU,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Bjorko1_20200131_20200518_MF500_s1_r1,ARMS_SWC_Bjorko1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_MF100_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_MF500_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_SF40_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_MF100_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_MF500_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_SF40_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_SF40_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_SF40_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_SF40_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_SF40_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF500_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_SF40_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF500_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_SF40_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_MF500_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_SF40_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_SF40_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_SF40_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_SF40_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_MF100_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_SF40_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_MF100_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_SF40_s1_r1,Classification,TAXON.NCBI_TAX_ID
ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,149,13,1394,358,1104,15448,0,0,1028,0,0,0,2,0,0,0,36,39,81,70,73,31837,0,37836,0,0,0,0,3,385,586,12333,35,244,6517,125,832,7516,164,2920,37443,0,0,669,2,10,121,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus balanus,Balanus balanus:172567
ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,16,0,36,739,9,74,0,0,354,0,0,0,1166,0,10,5,0,0,20,0,0,0,0,0,547,0,0,0,0,3948,52,1905,12064,6555,6443,18636,3357,4213,15207,5700,294,0,2,99,231,251,134,Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tokunagaia;Tokunagaia parexcellens,Tokunagaia parexcellens:2578648
ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,6,1,36,23,2018,116,0,0,452,1,207,0,14,0,4,0,0,0,0,0,0,38,0,17,6,0,0,0,0,23,24397,6848,5,19298,158,339,3,1451,0,1,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Alitta virens,Alitta virens:880429
ASV_4:c77101d4a16459a17d90f37d36ab36b13403a2a6,177,166,921,142,1487,2994,0,0,17975,0,546,0,111,0,36,2721,2641,2498,4370,5290,3093,836,0,680,20,0,5,0,5,474,267,2997,19,823,2411,120,1290,761,124,2252,215,0,0,30,2,0,3,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,Navicula ramosissima:265559
ASV_5:8a6aaec2f0803106613df91ee79911ada3f9cfb4,3053,170,10784,2,40,134,0,0,483,0,848,0,113,0,33,6,0,0,0,0,0,11063,0,8185,11,0,152,7,6930,114,94,2308,0,3,310,3,375,289,2,13,85,0,0,402,194,95,517,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,Obelia longissima:32570
ASV_6:f7781e8b9953dfcf2f665a1b7ad237b745134a38,1745,6481,14213,321,440,337,0,0,1161,0,17945,0,343,0,51,1496,1656,302,3393,4623,3810,3116,0,2370,10,0,5,10,1,1601,428,1140,17,39,51,13,684,109,65,373,20,0,0,1,3,0,0,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Chordariaceae;Mesogloia;Mesogloia ikomae,Mesogloia ikomae:309742
ASV_7:e1025484213fa24992c9f8301ed64d0ef8c6c71b,0,0,0,1,0,0,3,0,0,0,0,0,2169,0,6867,0,0,0,0,0,0,0,0,0,2113,0,623,52,5669,0,8,5,0,0,1,0,0,0,0,0,5,0,0,0,8440,2469,2650,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobiusculus;Gobiusculus flavescens,Gobiusculus flavescens:257540
ASV_8:c0cb9816365127fb07183d7546bf210b85401044,0,0,0,766,22,3180,0,0,360,0,8,0,6893,0,4116,0,1,0,0,0,0,0,0,0,4476,0,2751,0,78,0,4,114,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Nicolea;Nicolea zostericola,Nicolea zostericola:876016
ASV_9:ca53f8b2a4b557904d2cfdd681623b0c2c5a753f,0,2,0,0,4,0,34,0,0,0,2,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,10,0,816,6062,29532,2999,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Psamathe;Psamathe fusca,Psamathe fusca:378372
ASV_10:34db4b9bb9f1c905364c01935bd48b6d2b850687,838,0,187,908,693,292,0,0,1144,1,2354,0,10590,0,36,0,0,0,0,0,0,1579,0,427,2897,0,2353,20,5,4658,77,161,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae;Dinophilus;Dinophilus vorticoides,Dinophilus vorticoides:2576727
ASV_11:42ee08b6b5d2f287a2e08cd5d2f4bca0770e07c8,494,6695,263,39,897,237,0,0,35,0,882,0,51,0,2,3276,4621,1123,985,291,557,549,0,473,6,0,0,0,0,830,629,0,28,1756,580,976,1555,808,2868,752,15,0,0,1001,488,18,6,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Lysianassidae;Onisimus;Onisimus nanseni,Onisimus nanseni:583350
ASV_12:6889830f91d9b4e931538d0e6d1617332dc7c8fe,84,36,201,9,57,29,0,0,236,0,409,0,12,0,3,322,940,143,2562,7838,1701,70,0,60,0,0,2,2,1,58,66,143,14,756,384,18,688,262,62,1287,39,0,0,9,0,0,1,Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides,Thalassionema nitzschioides:33649
ASV_13:e0f9988a45b88ebfcc4f1d4349df7f321dee4f43,4702,14,342,64,1,1,0,0,27,0,115,0,72,0,3,1489,13,11,2077,230,67,1344,0,45,552,0,735,0,15,1602,32,42,394,79,63,307,207,100,353,4,1,1,0,127,510,47,27,Eukaryota;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Agaricostilbaceae;Sterigmatomyces;Sterigmatomyces sp,Sterigmatomyces sp:1972484
ASV_14:80c1d1ebd2c50ce2a24a1e0771a84a6ed3b52d79,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,4375,1777,2845,4041,275,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobius;Gobius niger,Gobius niger:85417
ASV_15:93c5fdaad5693cec585b748a30bd63653471b126,0,0,0,3,3599,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,6720,740,0,0,0,3,0,0,558,1,0,0,0,0,0,0,0,0,0,25,2,Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;Harmothoe;Harmothoe imbricata,Harmothoe imbricata:61848
ASV_16:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0,1,0,9,89,1962,5754,0,0,843,0,1509,0,338,0,1230,0,0,4,1,0,0,0,0,0,31,0,2463,59,172,21,9,1324,10,2,1529,119,263,1268,1,40,129,0,0,179,5,7,32,Eukaryota;Arthropoda;Insecta;Coleoptera;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus lufengensis,Rhagophthalmus lufengensis:398797
ASV_17:688d5e22286ab575831dfbbf494c633e58aa3e6e,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,85,0,38,217,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,1,0,1453,724,3237,4399,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus,Amphibalanus improvisus:1220549
ASV_18:610a83eb6f8fab2f02d0c4affb939d6162460808,23,0,0,10,1,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,550,0,28,0,0,6332,0,4,4848,102,327,2854,100,12,334,1,0,2,0,2,80,0,3,Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus bicallosus,Onthophagus bicallosus:1848760
ASV_19:641bac07ea87f1ca7c01499d93267e36f8e95c85,3,0,3,2,14,1586,0,0,3390,0,152,0,17,0,47,1,0,0,0,0,1,1,0,0,11,0,0,2,100,17,10,2191,0,0,56,3,9,38,1,1,49,0,0,0,0,0,1,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia geniculata,Obelia geniculata:185004
