OTU,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Bjorko1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_MF500_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_SF40_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_MF100_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_SF40_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_SF40_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_SF40_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF500_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_SF40_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF500_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_SF40_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_SF40_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_SF40_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_SF40_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
Otu151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Unknown Agaricomycetes order 1,Basidiomycota:5204
Otu259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Paralepista;Paralepista_flaccida,Paralepista flaccida:1144692
Otu257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Unknown Basidiomycota class 3,Basidiomycota:5204
Otu3824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lentitheciaceae;Keissleriella;Unknown Keissleriella species 1,Keissleriella:100032
Otu1214,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Helotiales;unidentified (Helotiales) family incertae sedis;Unknown unidentified (Helotiales) family incertae sedis genus 1,Helotiales:5178
Otu1212,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Unknown Taphrinales family 1,Taphrinales:5008
Otu3661,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi,Fungi:4751
Otu319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Unknown Eurotiomycetes order 1,Eurotiomycetes:147545
Otu310,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_herbarum,Stemphylium herbarum:119933
Otu338,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;Cryptococcus_laurentii,Cryptococcus laurentii:5418
